TestDataID1,TestDataID2,TestDataID3,Depth,Iterations,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,1,2,3,300,0.05,0.999178422,0.55498062,CT100,HeavyAtomMolWt,MolWt,LUMO,ATS0dv,LabuteASA,Eads100,LogEE_A,TPSA,BalabanJ
0,1,3,3,300,0.1,0.999997027,0.506083154,LabuteASA,LUMO,HOMO,HeavyAtomMolWt,CT100,Eads100,NumRotatableBonds,BalabanJ,SpAbs_A,MolWt
0,1,4,3,300,0.1,0.999999248,0.561725671,LUMO,SpAbs_A,CT100,HOMO,HeavyAtomMolWt,ATS0dv,LabuteASA,NumRotatableBonds,MolWt,BalabanJ
0,1,5,3,200,0.1,0.999877009,0.545340989,MolWt,HeavyAtomMolWt,NumRotatableBonds,LabuteASA,CT100,SpAbs_A,ATS0dv,HOMO,LUMO,Chi0
0,1,6,3,200,0.1,0.999921122,0.538975548,SpAbs_A,LUMO,ATS0dv,HeavyAtomMolWt,HOMO,NumRotatableBonds,Eads100,BalabanJ,LabuteASA,LogEE_A
0,1,7,3,200,0.1,0.999724988,0.508384325,NumRotatableBonds,CT100,HOMO,MolWt,HeavyAtomMolWt,TPSA,LabuteASA,LUMO,ATS0dv,SpAbs_A
0,1,8,3,300,0.1,0.999997136,0.528302216,SpAbs_A,ATS0dv,CT100,HOMO,NumRotatableBonds,HeavyAtomMolWt,LUMO,BalabanJ,LogEE_A,MolWt
0,1,9,3,300,0.01,0.80460221,0.091681573,LUMO,BalabanJ,NumRotatableBonds,CT100,ATS0dv,MolWt,HOMO,HeavyAtomMolWt,FractionCSP3,LabuteASA
0,1,10,3,100,0.1,0.992632268,0.585084735,SpAbs_A,ATS0dv,NumRotatableBonds,HOMO,HeavyAtomMolWt,LabuteASA,CT100,BalabanJ,LUMO,Eads100
0,1,11,3,200,0.1,0.999840398,0.550072491,NumRotatableBonds,LabuteASA,HOMO,MolWt,SpAbs_A,ATS0dv,CT100,HeavyAtomMolWt,Kappa1,LUMO
0,1,12,3,300,0.1,0.99999662,0.590385645,SpAbs_A,ATS0dv,MolWt,NumRotatableBonds,LabuteASA,HeavyAtomMolWt,HOMO,BalabanJ,LogEE_A,MaxAbsPartialCharge
0,1,13,3,300,0.1,0.999997814,0.574503736,NumRotatableBonds,ATS0dv,HOMO,LUMO,HeavyAtomMolWt,Eads100,MolWt,LabuteASA,CT100,TPSA
0,1,14,3,100,0.1,0.99245741,0.562339847,HeavyAtomMolWt,NumRotatableBonds,CT100,SpAbs_A,ATS0dv,LabuteASA,HOMO,MolWt,BalabanJ,MinPartialCharge
0,1,15,3,300,0.05,0.999242933,0.567816188,ATS0dv,HOMO,MolWt,NumRotatableBonds,CT100,SpAbs_A,Eads100,Kappa1,BalabanJ,LogEE_A
0,1,16,3,200,0.1,0.999919086,0.598539426,NumRotatableBonds,HOMO,LabuteASA,ATS0dv,HeavyAtomMolWt,MolWt,LUMO,SpAbs_A,BalabanJ,CT100
0,1,17,3,200,0.05,0.995961842,0.383145511,CT100,TPSA,LUMO,ATS0dv,HOMO,BalabanJ,NumRotatableBonds,LabuteASA,Chi0,LogEE_A
0,1,18,3,200,0.05,0.996019861,0.42421714,ATS0dv,HOMO,BalabanJ,CT100,SpAbs_A,LabuteASA,HeavyAtomMolWt,LUMO,Eads100,NumRotatableBonds
0,1,19,3,300,0.1,0.999997886,0.580142578,HeavyAtomMolWt,NumRotatableBonds,HOMO,MolWt,ATS0dv,SpAbs_A,CT100,BalabanJ,Eads100,LUMO
0,1,20,3,300,0.01,0.793316175,-0.098706285,HOMO,CT100,ATS0dv,LUMO,NumRotatableBonds,TPSA,MolWt,Eads100,Kappa1,BalabanJ
0,1,21,3,300,0.05,0.999524389,0.298847453,ATS0dv,LUMO,Eads100,CT100,BalabanJ,TPSA,HOMO,NumRotatableBonds,MaxAbsPartialCharge,SpAbs_A
0,1,22,3,300,0.1,0.999996782,0.505880378,HOMO,CT100,NumRotatableBonds,LabuteASA,Eads100,MolWt,HeavyAtomMolWt,ATS0dv,LUMO,SpAbs_A
0,1,23,3,300,0.05,0.9993953,0.508235594,ATS0dv,HOMO,CT100,Eads100,LUMO,BalabanJ,Kappa1,SpAbs_A,LabuteASA,NumRotatableBonds
0,1,24,3,200,0.1,0.999913613,0.650366347,HeavyAtomMolWt,HOMO,CT100,SpAbs_A,Eads100,LabuteASA,LUMO,MolWt,TPSA,MaxAbsPartialCharge
0,1,25,3,300,0.1,0.99999717,0.468365156,NumRotatableBonds,HeavyAtomMolWt,HOMO,ATS0dv,SpAbs_A,CT100,BalabanJ,Eads100,MolWt,LUMO
0,1,26,3,300,0.05,0.999197645,0.573261357,LUMO,HOMO,ATS0dv,CT100,SpAbs_A,NumRotatableBonds,LabuteASA,Eads100,TPSA,HeavyAtomMolWt
0,1,27,3,300,0.05,0.998974392,0.555579861,ATS0dv,CT100,BalabanJ,HeavyAtomMolWt,MolWt,HOMO,LabuteASA,NumRotatableBonds,MaxAbsPartialCharge,Kappa1
0,1,28,3,300,0.05,0.999289049,0.554947746,ATS0dv,HOMO,CT100,LUMO,LabuteASA,BalabanJ,Eads100,NumRotatableBonds,MolWt,LogEE_A
0,1,29,3,300,0.05,0.999350307,0.517897277,CT100,BalabanJ,HeavyAtomMolWt,ATS0dv,NumRotatableBonds,HOMO,MolWt,Eads100,LogEE_A,LUMO
0,2,3,3,100,0.1,0.993075359,-0.343157684,HeavyAtomMolWt,SpAbs_A,HOMO,MaxAbsPartialCharge,MolWt,CT100,LabuteASA,Eads100,MinPartialCharge,ATS0dv
0,2,4,3,300,0.01,0.754883071,-0.646931942,HOMO,MolWt,LUMO,SpAbs_A,ATS0dv,CT100,Kappa1,LogEE_A,HeavyAtomMolWt,LabuteASA
0,2,5,3,200,0.05,0.994628046,0.267085621,CT100,HeavyAtomMolWt,HOMO,MolWt,LogEE_A,ATS0dv,LabuteASA,Eads100,LUMO,MaxAbsPartialCharge
0,2,6,3,100,0.1,0.995246331,-0.978523102,HOMO,HeavyAtomMolWt,SpAbs_A,LabuteASA,CT100,LUMO,ATS0dv,MinPartialCharge,MolWt,MaxAbsPartialCharge
0,2,7,3,200,0.05,0.993326364,0.296627624,HOMO,CT100,MolWt,LUMO,HeavyAtomMolWt,TPSA,MaxAbsPartialCharge,Kappa1,Eads100,LabuteASA
0,2,8,3,100,0.1,0.993789096,-0.468221177,HOMO,SpAbs_A,CT100,HeavyAtomMolWt,ATS0dv,MinPartialCharge,MolWt,LabuteASA,Kappa1,LUMO
0,2,9,5,100,0.05,0.966337708,0.263846934,HeavyAtomMolWt,HOMO,LUMO,Kappa1,MaxAbsPartialCharge,SpAbs_A,FractionCSP3,Eads100,ATS0dv,CT100
0,2,10,3,100,0.1,0.993416172,-0.521699178,HOMO,CT100,SpAbs_A,HeavyAtomMolWt,MolWt,LabuteASA,ATS0dv,MaxAbsPartialCharge,MinPartialCharge,Eads100
0,2,11,3,100,0.1,0.993815564,0.315218475,HOMO,SpAbs_A,CT100,LabuteASA,HeavyAtomMolWt,MinPartialCharge,ATS0dv,MaxAbsPartialCharge,MolWt,Kappa1
0,2,12,3,200,0.1,0.999946115,-1.260148973,SpAbs_A,HOMO,MolWt,HeavyAtomMolWt,CT100,MaxAbsPartialCharge,ATS0dv,Eads100,LabuteASA,MinPartialCharge
0,2,13,3,100,0.1,0.99406186,-2.726211371,HOMO,MolWt,CT100,HeavyAtomMolWt,LUMO,Eads100,MinPartialCharge,LabuteASA,ATS0dv,MaxAbsPartialCharge
0,2,14,3,100,0.1,0.993049184,-1.205373923,HOMO,LabuteASA,SpAbs_A,HeavyAtomMolWt,CT100,MaxAbsPartialCharge,ATS0dv,MolWt,LUMO,Eads100
0,2,15,7,100,0.1,0.999801034,0.222529585,SpAbs_A,HOMO,Eads100,LUMO,CT100,MolWt,LogEE_A,NumRotatableBonds,MinPartialCharge,Chi0
0,2,16,3,100,0.1,0.992067312,-0.177117589,HOMO,SpAbs_A,HeavyAtomMolWt,ATS0dv,LabuteASA,CT100,MaxAbsPartialCharge,MinPartialCharge,Eads100,TPSA
0,2,17,3,100,0.1,0.992094675,0.388515398,HeavyAtomMolWt,SpAbs_A,MaxAbsPartialCharge,CT100,HOMO,LabuteASA,ATS0dv,MinPartialCharge,LUMO,TPSA
0,2,18,3,100,0.1,0.993479573,-0.153271978,HOMO,SpAbs_A,HeavyAtomMolWt,LabuteASA,MaxAbsPartialCharge,CT100,MolWt,Eads100,MinPartialCharge,ATS0dv
