TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,1,2,3,100,0.01,-2.22E-15,-0.080056513,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,3,3,100,0.01,-1.11E-15,-0.006001991,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,4,3,100,0.01,-1.55E-15,-0.00645019,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,5,3,100,0.01,-1.11E-15,-0.055455208,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,6,3,100,0.01,-1.78E-15,-0.000452923,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,7,3,100,0.01,-2.89E-15,-0.069696047,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,8,3,100,0.01,-8.88E-16,-0.002576382,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,9,3,100,0.01,-1.55E-15,-0.117321299,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,10,3,100,0.01,-1.11E-15,-0.004708413,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,11,3,100,0.01,-1.78E-15,-0.085136608,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,12,3,100,0.01,-2.66E-15,-0.00048758,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
0,1,13,3,100,0.01,-2.89E-15,-0.00759989,TPSA,MinPartialCharge,HOMO,CT100,Eads100,ATS0dv,Kappa1,Chi0,BalabanJ,LabuteASA
