TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,MinSamplesSplit,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,1,2,5,100,5,0.786622174,0.420910366,CT100,LUMO,HOMO,ATS0dv,TPSA,BalabanJ,Eads100,SpAbs_A,MinPartialCharge,LabuteASA
0,1,3,7,100,2,0.855408257,0.411638019,LUMO,CT100,HOMO,ATS0dv,BalabanJ,TPSA,NumRotatableBonds,Eads100,LabuteASA,Kappa1
0,1,4,7,100,2,0.851015777,0.420981689,CT100,LUMO,HOMO,ATS0dv,BalabanJ,NumRotatableBonds,Eads100,TPSA,MinPartialCharge,LabuteASA
0,1,5,7,300,5,0.785028061,0.296760268,LUMO,CT100,HOMO,ATS0dv,Eads100,BalabanJ,TPSA,NumRotatableBonds,MolWt,LabuteASA
0,1,6,7,100,5,0.810070601,0.453908259,LUMO,CT100,HOMO,ATS0dv,BalabanJ,TPSA,LabuteASA,NumRotatableBonds,Eads100,SpAbs_A
0,1,7,7,100,10,0.727125567,0.363853872,LUMO,CT100,HOMO,ATS0dv,TPSA,SpAbs_A,BalabanJ,NumRotatableBonds,LabuteASA,Kappa1
0,1,8,5,100,10,0.727775904,0.344521878,LUMO,CT100,HOMO,ATS0dv,LabuteASA,TPSA,NumRotatableBonds,BalabanJ,SpAbs_A,Kappa1
0,1,9,5,300,10,0.717132322,0.090142351,LUMO,CT100,ATS0dv,BalabanJ,HOMO,NumRotatableBonds,Eads100,MolWt,HeavyAtomMolWt,FractionCSP3
0,1,10,5,100,10,0.738654337,0.392192455,LUMO,CT100,ATS0dv,HOMO,TPSA,SpAbs_A,NumRotatableBonds,LabuteASA,BalabanJ,Eads100
0,1,11,7,100,10,0.734923097,0.445765568,CT100,LUMO,HOMO,ATS0dv,NumRotatableBonds,SpAbs_A,BalabanJ,Eads100,TPSA,LabuteASA
0,1,12,5,300,5,0.794665283,0.457682091,LUMO,CT100,HOMO,ATS0dv,NumRotatableBonds,BalabanJ,TPSA,Eads100,SpAbs_A,MolWt
0,1,13,7,300,5,0.793339489,0.506086083,LUMO,HOMO,CT100,ATS0dv,Eads100,NumRotatableBonds,BalabanJ,TPSA,MolWt,LabuteASA
0,1,14,7,300,10,0.710420568,0.401162924,LUMO,CT100,HOMO,ATS0dv,NumRotatableBonds,TPSA,Eads100,LabuteASA,SpAbs_A,MolWt
0,1,15,5,100,2,0.857420292,0.485055348,LUMO,CT100,HOMO,ATS0dv,NumRotatableBonds,TPSA,SpAbs_A,BalabanJ,MolWt,Eads100
0,1,16,7,300,2,0.857048568,0.380021429,LUMO,CT100,HOMO,ATS0dv,TPSA,NumRotatableBonds,BalabanJ,Eads100,MolWt,SpAbs_A
0,1,17,3,300,10,0.71453407,0.275238026,LUMO,CT100,HOMO,TPSA,ATS0dv,NumRotatableBonds,SpAbs_A,BalabanJ,LabuteASA,Eads100
0,1,18,3,300,2,0.779431328,0.334796987,LUMO,CT100,HOMO,ATS0dv,NumRotatableBonds,TPSA,BalabanJ,Eads100,MolWt,LabuteASA
0,1,19,7,100,2,0.879285107,0.424016544,LUMO,CT100,HOMO,ATS0dv,BalabanJ,NumRotatableBonds,TPSA,Eads100,MolWt,SpAbs_A
0,1,20,3,300,10,0.696169159,0.037577091,HOMO,LUMO,CT100,NumRotatableBonds,TPSA,Eads100,BalabanJ,ATS0dv,MolWt,LabuteASA
0,1,21,7,100,10,0.818756306,0.135649389,LUMO,ATS0dv,CT100,Eads100,HOMO,TPSA,LabuteASA,MinPartialCharge,MaxAbsPartialCharge,HeavyAtomMolWt
0,1,22,7,200,10,0.710942727,0.290880254,CT100,LUMO,HOMO,ATS0dv,NumRotatableBonds,Eads100,TPSA,BalabanJ,SpAbs_A,LabuteASA
0,1,23,5,200,10,0.70097171,0.343078243,LUMO,CT100,ATS0dv,HOMO,Eads100,NumRotatableBonds,TPSA,BalabanJ,SpAbs_A,LabuteASA
0,1,24,5,200,2,0.834916618,0.407539604,CT100,HOMO,LUMO,ATS0dv,Eads100,BalabanJ,TPSA,SpAbs_A,LabuteASA,HeavyAtomMolWt
0,1,25,5,200,10,0.704706552,0.331069725,LUMO,CT100,ATS0dv,HOMO,NumRotatableBonds,BalabanJ,TPSA,Eads100,MolWt,SpAbs_A
0,1,26,5,200,2,0.840578006,0.438701165,LUMO,CT100,HOMO,ATS0dv,NumRotatableBonds,BalabanJ,TPSA,Eads100,SpAbs_A,MinPartialCharge
0,1,27,3,200,10,0.685491873,0.277996593,CT100,ATS0dv,LUMO,NumRotatableBonds,Eads100,BalabanJ,TPSA,HOMO,FractionCSP3,SpAbs_A
0,1,28,5,200,2,0.849724965,0.344450984,LUMO,CT100,ATS0dv,HOMO,BalabanJ,Eads100,NumRotatableBonds,TPSA,SpAbs_A,MinPartialCharge
0,1,29,5,300,2,0.835173561,0.339027372,LUMO,CT100,HOMO,Eads100,ATS0dv,BalabanJ,NumRotatableBonds,TPSA,SpAbs_A,MinPartialCharge
0,2,3,5,100,2,0.842418547,-0.198605922,CT100,HOMO,LUMO,ATS0dv,Eads100,MinPartialCharge,SpAbs_A,BalabanJ,TPSA,NumRotatableBonds
0,2,4,3,300,5,0.716379019,-0.208026561,CT100,HOMO,LUMO,ATS0dv,MaxAbsPartialCharge,MinPartialCharge,BalabanJ,TPSA,Eads100,SpAbs_A
0,2,5,7,300,5,0.793905277,0.222662703,CT100,HOMO,LUMO,ATS0dv,TPSA,MolWt,MaxAbsPartialCharge,SpAbs_A,Eads100,BalabanJ
0,2,6,7,300,5,0.800961789,-0.7772269,CT100,LUMO,HOMO,ATS0dv,MinPartialCharge,MaxAbsPartialCharge,BalabanJ,SpAbs_A,TPSA,MolWt
0,2,7,5,300,5,0.78660251,0.34417169,CT100,HOMO,LUMO,ATS0dv,TPSA,MinPartialCharge,MaxAbsPartialCharge,SpAbs_A,BalabanJ,Eads100
0,2,8,7,100,10,0.71911717,-0.616093875,CT100,LUMO,HOMO,ATS0dv,LabuteASA,MaxAbsPartialCharge,SpAbs_A,TPSA,FractionCSP3,MinPartialCharge
