TestDataID1,TestDataID2,TestDataID3,MaxDepth,NEstimators,LearningRate,TrainR2,TestR2,Top1Feature,Top2Feature,Top3Feature,Top4Feature,Top5Feature,Top6Feature,Top7Feature,Top8Feature,Top9Feature,Top10Feature
0,1,2,5,300,0.05,0.9999901,0.570044623,NumRotatableBonds,SpAbs_A,ATS0dv,LabuteASA,BalabanJ,Kappa1,LogEE_A,LUMO,Eads100,SlogP_VSA1
0,1,3,3,300,0.1,0.999999981,0.519488012,NumRotatableBonds,ATS0dv,LabuteASA,TPSA,BalabanJ,Kappa1,HOMO,SpAbs_A,SlogP_VSA1,LogEE_A
0,1,4,3,300,0.1,0.999999992,0.556859986,NumRotatableBonds,ATS0dv,LabuteASA,TPSA,HOMO,BalabanJ,LogEE_A,SpAbs_A,Eads100,HeavyAtomMolWt
0,1,5,3,300,0.1,0.99999999,0.413682238,NumRotatableBonds,ATS0dv,LabuteASA,MolWt,SlogP_VSA1,SpAbs_A,HOMO,LogEE_A,CT100,TPSA
0,1,6,5,300,0.1,0.999999995,0.664275394,NumRotatableBonds,ATS0dv,LabuteASA,HOMO,SpAbs_A,BalabanJ,LogEE_A,SlogP_VSA1,MolWt,TPSA
0,1,7,7,300,0.1,0.999999995,0.623847192,NumRotatableBonds,ATS0dv,HOMO,CT100,LabuteASA,Chi0,SpAbs_A,MolWt,Kappa1,LogEE_A
0,1,8,3,300,0.1,0.999999989,0.502367912,NumRotatableBonds,ATS0dv,LabuteASA,HOMO,SpAbs_A,CT100,LogEE_A,BalabanJ,TPSA,MolWt
0,1,9,7,300,0.05,0.999993388,0.185953205,NumRotatableBonds,SlogP_VSA1,ATS0dv,BalabanJ,Chi0,LabuteASA,SpAbs_A,MolWt,LUMO,LogEE_A
0,1,10,3,300,0.05,0.999905435,0.575296561,NumRotatableBonds,ATS0dv,BalabanJ,HOMO,SlogP_VSA1,SpAbs_A,TPSA,Kappa1,Chi0,MolWt
0,1,11,5,300,0.1,0.999999995,0.557996585,NumRotatableBonds,SpAbs_A,ATS0dv,LabuteASA,HOMO,CT100,LogEE_A,BalabanJ,MolWt,PEOE_VSA1
